Category;City;Country;Customer ID;Customer Name;Discount;Order Date;Order ID;Postal Code;Product ID;Product Name;Profit;Quantity;Region;Row;Sales;Segment;Ship Date;Ship Mode;State;Sub-Category
Office Supplies;Bossier City;United States;CS-12250;Chris Selesnick;0;14.01.11;CA-2011-162775;71111;OFF-EN-10001532;Brown Kraft Recycled Envelopes;25.47;3;South;765;$51;Corporate;16.01.11;Second Class;Louisiana;Envelopes
Office Supplies;Bossier City;United States;CS-12250;Chris Selesnick;0;14.01.11;CA-2011-162775;71111;OFF-EN-10001990;Staples;53.392;2;South;764;$11;Corporate;16.01.11;Second Class;Louisiana;Envelopes
Office Supplies;Bossier City;United States;CS-12250;Chris Selesnick;0;14.01.11;CA-2011-162775;71111;OFF-ST-10000025;Fellowes Stor/Drawer Steel Plus Storage Drawers;343.548;6;South;768;$573;Corporate;16.01.11;Second Class;Louisiana;Storage
Technology;Bossier City;United States;CS-12250;Chris Selesnick;0;14.01.11;CA-2011-162775;71111;TEC-AC-10003174;Plantronics S12 Corded Telephone Headset System;258.696;6;South;766;$647;Corporate;16.01.11;Second Class;Louisiana;Accessories
Furniture;Mount Pleasant;United States;ND-18370;Natalie DeCherney;0;14.01.11;CA-2011-109232;29464;FUR-CH-10000422;Global Highback Leather Tilter in Burgundy;873.504;6;South;2979;$546;Consumer;17.01.11;Second Class;South Carolina;Chairs
Furniture;San Francisco;United States;BD-11605;Brian Dahlen;0.15;14.01.11;CA-2011-157147;94109;FUR-BO-10003034;O'Sullivan Elevations Bookcase, Cherry Finish;3.929.400.000;3;West;4939;$334;Consumer;19.01.11;Standard Class;California;Bookcases
Office Supplies;Newark;United States;MM-17920;Michael Moore;0.7;14.01.11;CA-2011-118192;43055;OFF-BI-10003476;Avery Metallic Poly Binders;-25.212;2;East;9630;$3;Consumer;19.01.11;Standard Class;Ohio;Binders
Office Supplies;Newark;United States;MM-17920;Michael Moore;0.2;14.01.11;CA-2011-118192;43055;OFF-PA-10002947;Xerox 1923;130.928;7;East;9629;$37;Consumer;19.01.11;Standard Class;Ohio;Paper
Office Supplies;San Francisco;United States;BD-11605;Brian Dahlen;0;14.01.11;CA-2011-157147;94109;OFF-AR-10003514;4009 Highlighters by Sanford;6.567;5;West;4940;$20;Consumer;19.01.11;Standard Class;California;Art
Office Supplies;San Francisco;United States;BD-11605;Brian Dahlen;0;14.01.11;CA-2011-157147;94109;OFF-ST-10000078;Tennsco 6- and 18-Compartment Lockers;238.653;5;West;4938;$1,326;Consumer;19.01.11;Standard Class;California;Storage
Furniture;Philadelphia;United States;BS-11590;Brendan Sweed;0.5;15.01.11;CA-2011-149524;19140;FUR-BO-10003433;Sauder Cornerstone Collection Library;-532.856;4;East;6475;$62;Corporate;16.01.11;First Class;Pennsylvania;Bookcases
Technology;Roswell;United States;EH-13990;Erica Hackney;0;16.01.11;CA-2011-103366;30076;TEC-AC-10003628;Logitech 910-002974 M325 Wireless Mouse for Web Scrolling;65.978;5;South;1914;$150;Consumer;18.01.11;First Class;Georgia;Accessories
Furniture;Philadelphia;United States;DL-13315;Delfina Latchford;0.2;17.01.11;CA-2011-115791;19134;FUR-FU-10001095;DAX Black Cherry Wood-Tone Poster Frame;285.984;6;East;971;$127;Consumer;19.01.11;Second Class;Pennsylvania;Furnishings
Office Supplies;Philadelphia;United States;DL-13315;Delfina Latchford;0.7;17.01.11;CA-2011-115791;19134;OFF-BI-10001575;GBC Linen Binding Covers;-136.312;2;East;973;$19;Consumer;19.01.11;Second Class;Pennsylvania;Binders
Office Supplies;Philadelphia;United States;DL-13315;Delfina Latchford;0.2;17.01.11;CA-2011-115791;19134;OFF-LA-10001074;Round Specialty Laser Printer Labels;101.493;3;East;974;$30;Consumer;19.01.11;Second Class;Pennsylvania;Labels
Technology;Philadelphia;United States;DL-13315;Delfina Latchford;0.4;17.01.11;CA-2011-115791;19134;TEC-PH-10004614;AT&T 841000 Phone;-31.05;3;East;972;$124;Consumer;19.01.11;Second Class;Pennsylvania;Phones
Office Supplies;Springfield;United States;DW-13195;David Wiener;0.2;19.01.11;CA-2011-123477;97477;OFF-AP-10000692;Fellowes Mighty 8 Compact Surge Protector;64.864;4;West;5365;$65;Corporate;22.01.11;Second Class;Oregon;Appliances
Furniture;Scottsdale;United States;TS-21340;Toby Swindell;0.7;20.01.11;CA-2011-146591;85254;FUR-BO-10001972;O'Sullivan 4-Shelf Bookcase in Odessa Pine;-320.597;5;West;5466;$181;Consumer;21.01.11;First Class;Arizona;Bookcases
Office Supplies;Scottsdale;United States;TS-21340;Toby Swindell;0.7;20.01.11;CA-2011-146591;85254;OFF-BI-10003676;GBC Standard Recycled Report Covers, Clear Plastic Sheets;-23.716;10;West;5463;$32;Consumer;21.01.11;First Class;Arizona;Binders
Office Supplies;Scottsdale;United States;TS-21340;Toby Swindell;0.2;20.01.11;CA-2011-146591;85254;OFF-EN-10002504;Tyvek  Top-Opening Peel & Seel Envelopes, Plain White;36.693;5;West;5465;$109;Consumer;21.01.11;First Class;Arizona;Envelopes
Office Supplies;Scottsdale;United States;TS-21340;Toby Swindell;0.2;20.01.11;CA-2011-146591;85254;OFF-PA-10000659;TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page;196.224;4;West;5464;$56;Consumer;21.01.11;First Class;Arizona;Paper
Furniture;Los Angeles;United States;MV-17485;Mark Van Huff;0;21.01.11;CA-2011-148614;90049;FUR-FU-10003194;Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;Mai 79;2;West;5738;$19;Consumer;26.01.11;Standard Class;California;Furnishings
Office Supplies;Los Angeles;United States;MV-17485;Mark Van Huff;0;21.01.11;CA-2011-148614;90049;OFF-PA-10002893;"Wirebound Service Call Books, 5 1/2"" x 4""";92.928;2;West;5737;$19;Consumer;26.01.11;Standard Class;California;Paper
Furniture;Westland;United States;XP-21865;Xylona Preis;0;21.01.11;CA-2011-167927;48185;FUR-FU-10002918;Eldon ClusterMat Chair Mat with Cordless Antistatic Protection;300.234;3;Central;6328;$273;Consumer;27.01.11;Standard Class;Michigan;Furnishings
Furniture;Westland;United States;XP-21865;Xylona Preis;0;21.01.11;CA-2011-167927;48185;FUR-FU-10002268;Ultra Door Push Plate;48.609;3;Central;6333;$15;Consumer;27.01.11;Standard Class;Michigan;Furnishings
Furniture;Jonesboro;United States;HL-15040;Hunter Lopez;0;21.01.11;US-2011-147627;72401;FUR-CH-10002331;Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms;2.242.674;3;South;1127;$1,068;Consumer;27.01.11;Standard Class;Arkansas;Chairs
Furniture;Jonesboro;United States;HL-15040;Hunter Lopez;0;21.01.11;US-2011-147627;72401;FUR-FU-10003194;Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;Nov 58;4;South;1124;$39;Consumer;27.01.11;Standard Class;Arkansas;Furnishings
Office Supplies;Westland;United States;XP-21865;Xylona Preis;0.1;21.01.11;CA-2011-167927;48185;OFF-AP-10002311;Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter;935.816;4;Central;6330;$248;Consumer;27.01.11;Standard Class;Michigan;Appliances
Office Supplies;Westland;United States;XP-21865;Xylona Preis;0;21.01.11;CA-2011-167927;48185;OFF-AR-10004456;Panasonic KP-4ABK Battery-Operated Pencil Sharpener;127.368;3;Central;6332;$44;Consumer;27.01.11;Standard Class;Michigan;Art
Office Supplies;Westland;United States;XP-21865;Xylona Preis;0;21.01.11;CA-2011-167927;48185;OFF-BI-10000605;"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red";89.535;5;Central;6329;$19;Consumer;27.01.11;Standard Class;Michigan;Binders
Office Supplies;Westland;United States;XP-21865;Xylona Preis;0;21.01.11;CA-2011-167927;48185;OFF-BI-10004364;Storex Dura Pro Binders;13.365;5;Central;6334;$30;Consumer;27.01.11;Standard Class;Michigan;Binders
Office Supplies;Westland;United States;XP-21865;Xylona Preis;0;21.01.11;CA-2011-167927;48185;OFF-ST-10000760;Eldon Fold 'N Roll Cart System;40.542;1;Central;6327;$14;Consumer;27.01.11;Standard Class;Michigan;Storage
Office Supplies;Westland;United States;XP-21865;Xylona Preis;0;21.01.11;CA-2011-167927;48185;OFF-ST-10003123;Fellowes Bases and Tops For Staxonsteel/High-Stak Systems;159.792;2;Central;6331;$67;Consumer;27.01.11;Standard Class;Michigan;Storage
Office Supplies;Jonesboro;United States;HL-15040;Hunter Lopez;0;21.01.11;US-2011-147627;72401;OFF-AR-10003811;Newell 327;17.901;3;South;1125;$7;Consumer;27.01.11;Standard Class;Arkansas;Art
Office Supplies;Jonesboro;United States;HL-15040;Hunter Lopez;0;21.01.11;US-2011-147627;72401;OFF-AR-10002375;Newell 351;66.584;7;South;1123;$23;Consumer;27.01.11;Standard Class;Arkansas;Art
Office Supplies;Jonesboro;United States;HL-15040;Hunter Lopez;0;21.01.11;US-2011-147627;72401;OFF-EN-10001539;Staples;109.698;3;South;1126;$23;Consumer;27.01.11;Standard Class;Arkansas;Envelopes
Office Supplies;Smyrna;United States;MM-18280;Muhammed MacIntyre;0.7;21.01.11;US-2011-147774;37167;OFF-BI-10003091;GBC DocuBind TL200 Manual Binding Machine;-515.154;1;South;7121;$67;Corporate;27.01.11;Standard Class;Tennessee;Binders
Technology;Jonesboro;United States;HL-15040;Hunter Lopez;0;21.01.11;US-2011-147627;72401;TEC-PH-10001061;Apple iPhone 5C;1.819.818;7;South;1122;$700;Consumer;27.01.11;Standard Class;Arkansas;Phones
Furniture;Miami;United States;TB-21400;Tom Boeckenhauer;0.2;22.01.11;CA-2011-110422;33180;FUR-FU-10001889;Ultra Door Pull Handle;41.028;3;South;9990;$25;Consumer;24.01.11;Second Class;Florida;Furnishings
Office Supplies;Lafayette;United States;SG-20605;Speros Goranitis;0;24.01.11;CA-2011-146997;47905;OFF-FA-10003467;Alliance Big Bands Rubber Bands, 12/Pack;0;3;Central;9887;$6;Consumer;28.01.11;Standard Class;Indiana;Fasteners
Office Supplies;Las Vegas;United States;IM-15055;Ionia McGrath;0;24.01.11;CA-2011-102645;89115;OFF-PA-10001804;Xerox 195;192.384;6;West;9156;$40;Consumer;29.01.11;Standard Class;Nevada;Paper
Furniture;Rapid City;United States;CA-11965;Carol Adams;0;27.01.11;CA-2011-167997;57701;FUR-BO-10004409;Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray;397.488;2;Central;8151;$142;Corporate;30.01.11;First Class;South Dakota;Bookcases
Office Supplies;Rapid City;United States;CA-11965;Carol Adams;0;27.01.11;CA-2011-167997;57701;OFF-BI-10001758;Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders;50.196;2;Central;8150;$11;Corporate;30.01.11;First Class;South Dakota;Binders
Furniture;Alexandria;United States;SD-20485;Shirley Daniels;0;27.01.11;US-2011-155502;22304;FUR-FU-10001847;Eldon Image Series Black Desk Accessories;44.712;3;South;2584;$12;Home Office;01.02.11;Standard Class;Virginia;Furnishings
Furniture;Alexandria;United States;SD-20485;Shirley Daniels;0;27.01.11;US-2011-155502;22304;FUR-FU-10004587;GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack;307.818;3;South;2579;$63;Home Office;01.02.11;Standard Class;Virginia;Furnishings
Office Supplies;Alexandria;United States;SD-20485;Shirley Daniels;0;27.01.11;US-2011-155502;22304;OFF-PA-10003072;"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream";93.312;3;South;2581;$19;Home Office;01.02.11;Standard Class;Virginia;Paper
Office Supplies;Alexandria;United States;SD-20485;Shirley Daniels;0;27.01.11;US-2011-155502;22304;OFF-PA-10000380;"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages";Aug 34;2;South;2582;$17;Home Office;01.02.11;Standard Class;Virginia;Paper
Office Supplies;Alexandria;United States;SD-20485;Shirley Daniels;0;27.01.11;US-2011-155502;22304;OFF-ST-10004337;SAFCO Commercial Wire Shelving, 72h;0;8;South;2580;$490;Home Office;01.02.11;Standard Class;Virginia;Storage
Technology;Alexandria;United States;SD-20485;Shirley Daniels;0;27.01.11;US-2011-155502;22304;TEC-PH-10002103;Jabra SPEAK 410;526.344;2;South;2585;$188;Home Office;01.02.11;Standard Class;Virginia;Phones
Technology;Alexandria;United States;SD-20485;Shirley Daniels;0;27.01.11;US-2011-155502;22304;TEC-PH-10004833;Macally Suction Cup Mount;0;13;South;2583;$155;Home Office;01.02.11;Standard Class;Virginia;Phones
Furniture;San Diego;United States;EJ-13720;Ed Jacobs;0.2;28.01.11;US-2011-117163;92037;FUR-TA-10003469;Balt Split Level Computer Training Table;-16.65;3;West;3796;$333;Consumer;03.02.11;Standard Class;California;Tables
Office Supplies;San Diego;United States;EJ-13720;Ed Jacobs;0;28.01.11;US-2011-117163;92037;OFF-AR-10003179;Dixon Ticonderoga Core-Lock Colored Pencils;120.252;4;West;3797;$36;Consumer;03.02.11;Standard Class;California;Art
Office Supplies;San Diego;United States;EJ-13720;Ed Jacobs;0;28.01.11;US-2011-117163;92037;OFF-ST-10003692;Recycled Steel Personal File for Hanging File Folders;143.075;1;West;3795;$57;Consumer;03.02.11;Standard Class;California;Storage
Office Supplies;New York City;United States;JC-15340;Jasper Cacioppo;0.2;29.01.11;CA-2011-100328;10024;OFF-BI-10000343;"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue";13.257;1;East;3084;$4;Consumer;04.02.11;Standard Class;New York;Binders
Office Supplies;Detroit;United States;MV-18190;Mike Vittorini;0;31.01.11;CA-2011-134103;48234;OFF-PA-10001204;Xerox 1972;4.752;2;Central;6388;$11;Consumer;05.02.11;Standard Class;Michigan;Paper
Office Supplies;Detroit;United States;MV-18190;Mike Vittorini;0;31.01.11;CA-2011-134103;48234;OFF-ST-10000991;Space Solutions HD Industrial Steel Shelving.;68.982;2;Central;6389;$230;Consumer;05.02.11;Standard Class;Michigan;Storage
Furniture;Mission Viejo;United States;LC-17050;Liz Carlisle;0.15;01.02.11;CA-2011-115161;92691;FUR-BO-10003966;Sauder Facets Collection Library, Sky Alder Finish;3.419.600.000;2;West;3366;$291;Consumer;03.02.11;First Class;California;Bookcases
Technology;Green Bay;United States;BD-11500;Bradley Drucker;0;02.02.11;CA-2011-140795;54302;TEC-AC-10001432;Enermax Aurora Lite Keyboard;206.316;6;Central;541;$469;Consumer;04.02.11;First Class;Wisconsin;Accessories
Office Supplies;San Diego;United States;CD-12790;Cynthia Delaney;0;03.02.11;CA-2011-139857;92037;OFF-FA-10001843;Staples;58.045;5;West;1704;$12;Home Office;07.02.11;Standard Class;California;Fasteners
Office Supplies;Saint Petersburg;United States;EB-13930;Eric Barreto;0.7;03.02.11;CA-2011-123400;33710;OFF-BI-10000666;Surelock Post Binders;-12.224;2;South;9138;$18;Consumer;10.02.11;Standard Class;Florida;Binders
Technology;Saint Petersburg;United States;EB-13930;Eric Barreto;0.2;03.02.11;CA-2011-123400;33710;TEC-PH-10002890;AT&T 17929 Lendline Telephone;13.572;5;South;9139;$181;Consumer;10.02.11;Standard Class;Florida;Phones
Office Supplies;Seattle;United States;TB-21400;Tom Boeckenhauer;0.2;04.02.11;CA-2011-111059;98105;OFF-BI-10002827;Avery Durable Poly Binders;43.134;3;West;1519;$13;Consumer;07.02.11;Second Class;Washington;Binders
Office Supplies;Seattle;United States;TB-21400;Tom Boeckenhauer;0.2;04.02.11;CA-2011-111059;98105;OFF-BI-10004593;Ibico Laser Imprintable Binding System Covers;27.248;2;West;1518;$84;Consumer;07.02.11;Second Class;Washington;Binders
Office Supplies;Escondido;United States;MH-17440;Mark Haberlin;0.2;05.02.11;CA-2011-104808;92025;OFF-BI-10003676;GBC Standard Recycled Report Covers, Clear Plastic Sheets;60.368;2;West;8585;$17;Corporate;09.02.11;Second Class;California;Binders
Office Supplies;San Diego;United States;DB-13270;Deborah Brumfield;0.2;05.02.11;CA-2011-107181;92024;OFF-BI-10004230;GBC Recycled Grain Textured Covers;290.136;3;West;1544;$83;Home Office;09.02.11;Standard Class;California;Binders
Office Supplies;San Diego;United States;DB-13270;Deborah Brumfield;0;05.02.11;CA-2011-107181;92024;OFF-PA-10000350;"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book";160.928;4;West;1545;$34;Home Office;09.02.11;Standard Class;California;Paper
Office Supplies;Chesapeake;United States;ND-18460;Neil Ducich;0;07.02.11;CA-2011-131905;23320;OFF-LA-10002787;Avery 480;07. Feb;4;South;1998;$15;Corporate;10.02.11;First Class;Virginia;Labels
Technology;Chesapeake;United States;ND-18460;Neil Ducich;0;07.02.11;CA-2011-131905;23320;TEC-PH-10003645;Aastra 57i VoIP phone;420.186;1;South;1999;$162;Corporate;10.02.11;First Class;Virginia;Phones
Technology;Chesapeake;United States;ND-18460;Neil Ducich;0;07.02.11;CA-2011-131905;23320;TEC-PH-10001615;AT&T CL82213;420.355;5;South;2000;$145;Corporate;10.02.11;First Class;Virginia;Phones
Office Supplies;Romeoville;United States;DL-13315;Delfina Latchford;0.8;07.02.11;CA-2011-108182;60441;OFF-BI-10001196;Avery Flip-Chart Easel Binder, Black;-147.708;2;Central;8981;$9;Consumer;11.02.11;Second Class;Illinois;Binders
Office Supplies;New York City;United States;CS-12250;Chris Selesnick;0;08.02.11;US-2011-169390;10024;OFF-ST-10001558;Acco Perma 4000 Stacking Storage Drawers;9.744;4;East;8736;$65;Corporate;11.02.11;Second Class;New York;Storage
Technology;Linden;United States;CK-12760;Cyma Kinney;0;08.02.11;CA-2011-107755;7036;TEC-AC-10000710;Maxell DVD-RAM Discs;496.048;7;East;850;$115;Corporate;13.02.11;Standard Class;New Jersey;Accessories
Furniture;North Las Vegas;United States;NM-18445;Nathan Mautz;0;09.02.11;CA-2011-125759;89031;FUR-FU-10002111;Master Caster Door Stop, Large Brown;55.328;2;West;9267;$15;Home Office;10.02.11;First Class;Nevada;Furnishings
Furniture;Columbia;United States;GA-14725;Guy Armstrong;0;12.02.11;CA-2011-168368;65203;FUR-CH-10001146;Global Value Mid-Back Manager's Chair, Gray;152.225;1;Central;9255;$61;Consumer;16.02.11;Second Class;Missouri;Chairs
Furniture;Columbia;United States;GA-14725;Guy Armstrong;0;12.02.11;CA-2011-168368;65203;FUR-FU-10002298;"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle";532.704;3;Central;9258;$333;Consumer;16.02.11;Second Class;Missouri;Furnishings
Furniture;Chesapeake;United States;NF-18385;Natalie Fritzler;0;12.02.11;CA-2011-127614;23320;FUR-TA-10003715;Hon 2111 Invitation Series Corner Table;75.373.200.000;6;South;5632;$1,256;Consumer;16.02.11;Standard Class;Virginia;Tables
Office Supplies;Columbia;United States;GA-14725;Guy Armstrong;0;12.02.11;CA-2011-168368;65203;OFF-BI-10004654;VariCap6 Expandable Binder;24.393;3;Central;9259;$52;Consumer;16.02.11;Second Class;Missouri;Binders
Office Supplies;Columbia;United States;GA-14725;Guy Armstrong;0;12.02.11;CA-2011-168368;65203;OFF-BI-10004728;Wilson Jones Turn Tabs Binder Tool for Ring Binders;44.344;2;Central;9257;$10;Consumer;16.02.11;Second Class;Missouri;Binders
Office Supplies;Columbia;United States;GA-14725;Guy Armstrong;0;12.02.11;CA-2011-168368;65203;OFF-LA-10004853;Avery 483;68.724;3;Central;9256;$15;Consumer;16.02.11;Second Class;Missouri;Labels
Office Supplies;Columbia;United States;GA-14725;Guy Armstrong;0;12.02.11;CA-2011-168368;65203;OFF-ST-10002583;Fellowes Neat Ideas Storage Cubes;25.984;2;Central;9260;$65;Consumer;16.02.11;Second Class;Missouri;Storage
Office Supplies;Chesapeake;United States;NF-18385;Natalie Fritzler;0;12.02.11;CA-2011-127614;23320;OFF-BI-10003291;Wilson Jones Leather-Like Binders with DublLock Round Rings;82.062;2;South;5633;$17;Consumer;16.02.11;Standard Class;Virginia;Binders
Technology;Chesapeake;United States;NF-18385;Natalie Fritzler;0;12.02.11;CA-2011-127614;23320;TEC-AC-10001432;Enermax Aurora Lite Keyboard;103.158;3;South;5631;$234;Consumer;16.02.11;Standard Class;Virginia;Accessories
Furniture;Concord;United States;SC-20095;Sanjit Chand;0.2;13.02.11;US-2011-110674;94521;FUR-CH-10000225;Global Geo Office Task Chair, Gray;-24.294;2;West;457;$130;Consumer;19.02.11;Standard Class;California;Chairs
Office Supplies;Seattle;United States;ML-17395;Marina Lichtenstein;0;15.02.11;CA-2011-121762;98103;OFF-AP-10001293;Belkin 8 Outlet Surge Protector;229.488;2;West;9763;$82;Corporate;19.02.11;Standard Class;Washington;Appliances
Office Supplies;Seattle;United States;ML-17395;Marina Lichtenstein;0;15.02.11;CA-2011-121762;98103;OFF-SU-10000157;Compact Automatic Electric Letter Opener;47.724;2;West;9764;$239;Corporate;19.02.11;Standard Class;Washington;Supplies
Technology;Seattle;United States;ML-17395;Marina Lichtenstein;0;15.02.11;CA-2011-121762;98103;TEC-AC-10000736;Logitech G600 MMO Gaming Mouse;863.892;3;West;9762;$240;Corporate;19.02.11;Standard Class;Washington;Accessories
Office Supplies;Houston;United States;ST-20530;Shui Tom;0.2;15.02.11;CA-2011-107706;77095;OFF-PA-10000466;Memo Book, 100 Message Capacity, 5 3/8” x 11”;6.066;3;Central;5467;$16;Consumer;20.02.11;Second Class;Texas;Paper
Office Supplies;Seattle;United States;BF-11020;Barry Französisch;0.2;16.02.11;CA-2011-165568;98105;OFF-BI-10001031;Pressboard Data Binders by Wilson Jones;7.209;5;West;7438;$21;Corporate;20.02.11;Standard Class;Washington;Binders
Office Supplies;Dallas;United States;MN-17935;Michael Nguyen;0.8;17.02.11;CA-2011-122567;75220;OFF-AP-10001303;Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter;-13.93;2;Central;1334;$8;Consumer;22.02.11;Standard Class;Texas;Appliances
Office Supplies;Dallas;United States;MN-17935;Michael Nguyen;0.8;17.02.11;CA-2011-122567;75220;OFF-BI-10002012;Wilson Jones Easy Flow II Sheet Lifters;-1.728;3;Central;1333;$1;Consumer;22.02.11;Standard Class;Texas;Binders
